paper, title, mission/instruments, models, manually reviewed, CMR datasets
NLG54M9T,2019_Froidevaux_Evaluation of CESM1 (WACCM) free-running and specified dynamics atmospheric.pdf,'aura/mls'(20); 'uars/mls'(2); 'uars/haloe'(1), 'merra'(9),GozMmlpH2O;GozMmlpO3;GozSmlpHCl;ML2H2O;ML2HCL;ML2HNO3;ML2N2O;ML2O3,ML2T;ML2N2O;GozMmlpHCl;ML2O3;ML2HNO3;GozMmlpO3;ML2H2O
KK5T5FAG,2020_Huijnen_An intercomparison of tropospheric ozone reanalysis products from CAMS CAMS.pdf,'aura/mls'(3); 'aura/omi'(2); 'noaa-19/sbuv/2'(1); 'noaa-14/sbuv/2'(1), ,ML2O3;OMNO2;OMSO2,
89ZPSHKQ,2018_Johansson_Airborne limb-imaging measurements of temperature HNOsub3-sub.pdf,'aura/mls'(8); 'uars/mls'(1), ,ML2HNO3;ML2O3,ML2H2O
LTTW7HBG,2018_Lambert_Accuracy and precision of polar lower stratospheric temperatures from.pdf,'aura/mls'(5); 'aqua/airs'(1), 'merra'(26); 'merra-2'(17); 'geos-5'(10),ML2H2O;ML2HNO3;ML2T,
73GAAR3J,2015_France_A climatology of planetary wave-driven mesospheric inversion layers in the.pdf,'aura/mls'(2), 'merra'(8),ML2T;ML2GPH,
5M28GUHB,2016_Millán_Case studies of the impact of orbital sampling on stratospheric trend detection.pdf,'aura/mls'(2); 'uars/haloe'(1), ,ML2O3;ML2H2O;UARHA3AT;UARHA2FN,
RX4NA754,2017_Wargan_Evaluation of the Ozone Fields in NASA's MERRA-2 Reanalysis.pdf,'uars/mls'(31); 'aura/omi'(8); 'nimbus-7/sbuv'(6); 'aura/mls'(5); 'nimbus-7/toms'(3); 'noaa-11/sbuv/2'(2); 'noaa-14/sbuv/2'(2); 'suomi-npp/atms'(1); 'suomi-npp/cris'(1); 'erbs/sage ii'(1); 'noaa-17/sbuv/2'(1); 'noaa-16/sbuv/2'(1), 'merra'(181); 'merra-2'(167); 'geos-5'(2),UARML3AT;UARML3AL;TOMSEPL2;TOMSEPL3;TOMSN7L2;TOMSN7L3,OMTO3e;MSO3L3zm5;ML2T;ML2O3;GozMmlpO3;TOMSN7L2
A2XKDGYR,2020_Honomichl_Transport From the Asian Summer Monsoon Anticyclone Over the Western Pacific.pdf,'aura/mls'(2), ,ML2CO;ML2H2O;ML2O3,
Q9FN5LUU,2017_Jaeglé_Multiyear Composite View of Ozone Enhancements and Stratosphere-to-Troposphere.pdf,'aura/mls'(3); 'aqua/airs'(2); 'aqua/modis'(1); 'aura/omi'(1); 'aqua/hsb'(1), 'merra'(72); 'merra-2'(57); 'geos-chem'(25); 'geos-5'(2),M2I3NPASM;M2I3NVCHM;M2T1NXFLX;M2T1NXRAD;M2T1NXSLV;M2T3NPTDT;ML2O3,ML2O3
TDBJ7BI2,2019_Schranz_Investigation of Arctic middle-atmospheric dynamics using 3 years of H2O and O3.pdf,'aura/mls'(3); 'aura/omi'(1), ,ML2H2O;ML2O3;ML2T,
PW7FRGHY,2014_Mahieu_Recent Northern Hemisphere stratospheric HCl increase due to atmospheric.pdf,'aura/mls'(5), ,GozMmlpHCl;UARHA2FN;UARHA3AT;ML2HCL,
FKFFW3MW,2013_Nair_Ozone trends derived from the total column and vertical profiles at a northern.pdf,'aura/mls'(9); 'uars/haloe'(2); 'uars/mls'(1), 'merra'(2),GozMmlpO3;UARHA3AT;UARHA2FN;ML2O3,GozMmlpO3;ML2O3
Y5BQ3TM8,2018_Harvey_On the Upward Extension of the Polar Vortices Into the Mesosphere.pdf,'aura/mls'(1), 'merra'(17); 'merra-2'(16),M2I6NVANA;ML2CO;ML2GPH,
NYALEFU3,2018_López-Puertas_MIPAS observations of ozone in the middle atmosphere.pdf,'aura/mls'(1), 'merra'(1),ML2O3,
EBPBY3GM,2018_Albers_Mechanisms Governing Interannual Variability of Stratosphere-to-Troposphere.pdf,'aura/mls'(8); 'aura/mls----level 2'(1), 'merra'(48); 'merra-2'(48); 'geos-5'(2),M2I3NVASM;ML2O3,ML2O3
9PB965VM,2017_Long_Climatology and interannual variability of dynamic variables in multiple.pdf,'aura/mls'(10); 'aura/hirdls'(6), 'merra'(54); 'merra-2'(32),M2I3NVASM;ML2T;HIRDLS2,ML2T;H3ZFCT
KSTK8HYX,2016_Field_Indonesian fire activity and smoke pollution in 2015 show persistent nonlinear.pdf,'aqua/modis'(2); 'terra/modis'(2); 'aura/mls'(1); 'aqua/airs'(1); 'aura/omi'(1), ,TRMM_3B42RT;ML2CO;AIRS3STD;AIRX3STD;OMAERUVd;OMTO3d;MOD08_D3;MYD08_D3,
JJSDX7TS,2016_Pathakoti_Evidence of stratosphere–troposphere exchange during severe cyclones.pdf,'aura/mls'(2), ,ML2O3,
4NLCM7RJ,2013_Hitchcock_Statistical Characterization of Arctic Polar-Night Jet Oscillation Events.pdf,'aura/mls'(2), 'merra'(18),ML2T;ML2GPH;MAI6NVANA,
