paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
PXKGZS94,2018_Itahashi_A 15-year record (2001–2015) of the ratio of nitrate to non-sea-salt sulfate in.pdf,'aura/omi'(1), ,OMNO2d;OMSO2e,OMI_MINDS_NO2;MSVOLSO2L4;OMNO2_CPR;OMSO2e;OMNO2;OMSO2;OMNO2d;OMSO2G;OMNO2G;MSAQSO2L4;OMI_MINDS_NO2d,,,2, 0, 9
HMHY4HFU,2018_Sun_A physics-based approach to oversample multi-satellite multispecies.pdf,'aura/omi'(1), ,OMNO2d;OMPIXCOR,OMI_MINDS_NO2;OMNO2_CPR;OMNO2;OMNO2d;OMNO2G;OMI_MINDS_NO2d,,,1, 1, 5
FG6I3DFC,2018_Kourtidis_A new method for deriving trace gas emission inventories from satellite.pdf,'aura/omi'(4); 'aura/omi----level-2'(1), ,OMNO2d;OMSO2e,OMI_MINDS_NO2;MSVOLSO2L4;OMNO2_CPR;OMSO2_CPR;OMSO2e;OMNO2;OMSO2;OMNO2d;OMSO2G;OMNO2G;MSAQSO2L4;OMI_MINDS_NO2d,,,2, 0, 10
IUTVRRDV,2016_Fan_Urbanization and environmental change during the economic transition on the.pdf,'aura/omi'(1), 'merra'(2),OMSO2e;OMNO2d;OMAEROe;MAT1NXFLX;MATMNXSLV,OMUFPITMET;OMVFPITMET;OMMYDCLD,,,0, 5, 3
PTQ94YPR,2019_Inness_Monitoring and assimilation tests with TROPOMI data in the CAMS system.pdf,'sentinel-5p/tropomi'(3); 'aura/mls'(2); 'aura/omi'(2); 'noaa-19/sbuv/2'(1), ,ML2O3;OMTO3;OMPS_NPP_NMTO3_L2;OMPS_NPP_NMTO3_L3_DAILY;SBUV2N19L2;S5P_L2__O3_TOT;S5P_L2__O3_TOT_HiR,S5P_L2__AER_LH_HiR;S5P_L2__O3_TOT_HiR;OMO3PR;S5P_L2__O3_TOT;OMTO3d;OMDOAO3e;ML2O3;OMMYDCLD;ML2T;S5P_L2__CLOUD__HiR;OMUFPITMET;OMTO3G;ML3DBT;OMTO3e;ML3DZT;S5P_L2__O3_TCL;OMDOAO3;MSO3L3zm5;ML3MBT;ML2DGG;ML2O3_NRT;S5P_L2__CLOUD_;GozMmlpO3;OMVFPITMET,,,3, 4, 21
AQ984N7H,2019_Zhao_Retrieval of total column and surface NO sub2-sub from Pandora zenith-sky.pdf,'aura/omi'(1), 'geos-chem'(3),OMNO2,OMI_MINDS_NO2;OMNO2_CPR;OMNO2;OMNO2d;OMMYDCLD;OMNO2G;OMUFPITMET;OMVFPITMET;OMI_MINDS_NO2d,,,1, 0, 8
GH789B22,2020_Cooper_Effects of a priori profile shape assumptions on comparisons between satellite.pdf,, 'geos-chem'(10),OMNO2,,,,0, 1, 0
EVI3747H,2018_Mok_Comparisons of spectral aerosol single scattering albedo in Seoul South Korea.pdf,'aura/omi'(3), ,OMTO3;OMNO2,OMI_MINDS_NO2d;OMI_MINDS_NO2;OMNO2_CPR;OMTO3d;OMDOAO3e;OMNO2;OMNO2d;OMTO3e;OMO3PR;OMNO2G;OMTO3G;OMDOAO3,,,1, 1, 11
NSIRW452,2018_Li_Comparison and evaluation of anthropogenic emissions of SO sub2-sub and NO.pdf,'aura/omi'(1), 'geos-chem'(9); 'geos-5'(1),OMSO2;OMNO2,OMI_MINDS_NO2;MSVOLSO2L4;OMNO2_CPR;OMSO2e;OMNO2;OMSO2;OMNO2d;OMSO2G;OMNO2G;MSAQSO2L4;OMI_MINDS_NO2d,,,2, 0, 9
EMIHDVGU,2020_Choi_Assessment of NOsub2-sub observations during DISCOVER-AQ and KORUS-AQ field.pdf,'aura/omi'(3); 'aura/mls'(1), 'merra'(1); 'merra-2'(1),OMNO2,OMI_MINDS_NO2d;OMI_MINDS_NO2;ML2N2O;GozSmlpN2O;OMMYDCLD;ML2N2O_NRT;ML2T;OMUFPITMET;ML3DBT;ML3DBCO;OMVFPITMET;OMNO2d;ML3DZT;ML2CO_NRT;OMNO2_CPR;OMNO2;ML3MBT;ML2DGG;OMNO2G;ML2CO,,,1, 0, 19
NYALEFU3,2018_López-Puertas_MIPAS observations of ozone in the middle atmosphere.pdf,'aura/mls'(1), 'merra'(1),ML2O3,ML3DBCO;ML3MBT;ML2DGG;ML2O3_NRT;ML2O3;ML3DZT;GozMmlpO3;ML2T;ML2CO;ML3DBT;ML2CO_NRT,,,1, 0, 10
KSTK8HYX,2016_Field_Indonesian fire activity and smoke pollution in 2015 show persistent nonlinear.pdf,'aura/mls'(1); 'aqua/airs'(1); 'aura/omi'(1); 'terra/modis'(1); 'aqua/modis'(1), ,TRMM_3B42RT;ML2CO;AIRS3STD;AIRX3STD;OMAERUVd;OMTO3d;MOD08_D3;MYD08_D3,AIRX2SUP;ML3DBCO;ML2DGG;AIRX2RET;AIRX3STD;ML2CO;ML2CO_NRT,,,2, 6, 5
