paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
KSTK8HYX,2016_Field_Indonesian fire activity and smoke pollution in 2015 show persistent nonlinear.pdf,'aura/mls'(1); 'aqua/airs'(1); 'aura/omi'(1); 'aqua/modis'(1); 'terra/modis'(1), ,TRMM_3B42RT;ML2CO;AIRS3STD;AIRX3STD;OMAERUVd;OMTO3d;MOD08_D3;MYD08_D3,AIRS3STD;AIRX2SUP;ML3MBCO;ML2CO;AIRX3STD;ML3DZCO;AIRX2RET;ML3DBCO;ML2DGG;ML2CO_NRT,,,3, 5, 7
5NAAD62V,2017_Chen_A review of biomass burning.pdf,'aqua/modis'(7); 'terra/modis'(7); 'aqua/airs'(1); 'aura/omi'(1), 'geos-5'(1),AIRS3STD;MOD08_D3;MYD08_D3,OMMYDAGEO;MAM06S0;OMTO3d;AIRH2SUP;OMNO2d;MOD11CM1N;AIRH2RET;OMNO2;OMI_MINDS_NO2;OMDOAO3e;OMNO2G;OMSO2G;OMO3PR;AIRX2RET;AIRABRAD_NRT;OMI_MINDS_NO2d;OMVFPITMET;AIRSM_CPR_MAT;OMDOAO3;OMSO2;AIRX2SUP;OMNO2_CPR;MAM07S0;MAC07S1;OMSO2_CPR;MSAQSO2L4;OMDOAO3G;AIRX3STD;OMPS_NPP_NMSO2_PCA_L2;MYD11CM1D;MOD11CM1D;OMUFPITMET;OMTO3G;OMMYDCLD;OMTO3e;AIRS3STD;AIRABRAD;MAC07S0;MYD11CM1N;OMSO2e;AIRHBRAD;MSVOLSO2L4,,,1, 2, 41
VTHED4QL,2019_Emetere_Image Re-processing of Satellite Imageries.pdf,'aura/omi'(2), ,MOD08_D3;OMAERUVd;MIL3DAE,,,,0, 3, 0
4NLCM7RJ,2013_Hitchcock_Statistical Characterization of Arctic Polar-Night Jet Oscillation Events.pdf,'aura/mls'(2), 'merra'(17),ML2T;ML2GPH;MAI6NVANA,ML3DBT;ML3DBHCN;ML2T_NRT;ML3MBT;ML2T;ML3DZT,,,1, 2, 5
Y7ZGLI3C,2019_Postylyakov_Comparison of space high-detailed experimental and model data on tropospheric.pdf,'aura/omi'(2), 'gdas'(1),OMNO2,OMNO2d;OMNO2_CPR;OMNO2;OMNO2G;OMI_MINDS_NO2;OMI_MINDS_NO2d,,,1, 0, 5
QP99A9BF,2019_Postylyakov_Preliminary validation of high-detailed GSA-Resurs-P tropospheric NO2 maps with.pdf,'aura/omi'(2), 'gdas'(1),OMNO2,OMNO2d;OMNO2_CPR;OMNO2;OMNO2G;OMI_MINDS_NO2;OMI_MINDS_NO2d,,,1, 0, 5
GFERTT9M,2019_Busse_Responses of Salmonella typhimurium LT2 Vibrio harveyi and Cryptosporidium.pdf,'terra/modis'(1), ,OMDOAO3e;MOD08_M3;OMSO2e;OMNO2d;AIRX3STD,,,,0, 5, 0
LSP69BZI,2020_Renuka_Study of mixing ratios of SO2 in a tropical rural environment in south India.pdf,'aura/omi'(1), 'ncep-gfs'(2),OMSO2e,OMSO2;OMSO2G;OMSO2_CPR;MSAQSO2L4;OMSO2e;OMPS_NPP_NMSO2_PCA_L2;MSVOLSO2L4,,,1, 0, 6
VRWBX9GK,2020_Wright_A Comparison of Solar Ultraviolet Radiation Exposure in Urban Canyons in.pdf,, ,OMUVBd,,,,0, 1, 0
GL9H2U3J,2020_Wang_Why is the Indo-Gangetic Plain the region with the largest NHsub3-sub.pdf,'aura/omi'(2), ,OMSO2e;OMNO2d,,,,0, 2, 0
36GMFPJE,2020_Compernolle_Validation of Aura-OMI QA4ECV NO2 climate data records with ground-based DOAS.pdf,'aura/omi----level 1'(1), ,OMNO2;S5P_L2__NO2___;S5P_L2__NO2___HiR,,,,0, 3, 0
AQUTDJRZ,2020_Metya_COVID-19 Lockdowns Improve Air Quality in the South-East Asian Regions as Seen.pdf,'aqua/airs'(1); 'aura/omi'(1); 'aqua/modis'(1); 'terra/modis'(1), ,OMSO2e;OMNO2d,AIRH2SUP;OMNO2d;AIRH2RET;OMNO2;OMI_MINDS_NO2;OMNO2G;OMSO2G;AIRX2RET;OMI_MINDS_NO2d;OMSO2;AIRX2SUP;OMNO2_CPR;OMSO2_CPR;MSAQSO2L4;AIRX3STD;OMPS_NPP_NMSO2_PCA_L2;AIRS3STD;OMSO2e;MSVOLSO2L4,,,2, 0, 17
WLHG8ZER,2019_Fasnacht_A geometry-dependent surface Lambertian-equivalent reflectivity product for.pdf,'aqua/amsr-e'(2); 'dmsp/ssmis'(1); 'aura/omi'(1); 'aqua/modis'(1), 'geos-5'(4); 'merra-2'(4); 'merra'(4),OMGLER,,,,0, 1, 0
