paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
KK5T5FAG,2020_Huijnen_An intercomparison of tropospheric ozone reanalysis products from CAMS CAMS.pdf,'aura/mls'(3); 'aura/omi'(2); 'noaa-19/sbuv/2'(1); 'noaa-14/sbuv/2'(1), ,ML2O3;OMNO2;OMSO2,ML2SO2_NRT;ML2HNO3_NRT;ML3MBO3;ML3MBSO2;ML2CO_NRT;ML3DBN2O;OMDOAO3G;OMI_MINDS_NO2;SBUV2N19L2;OMNO2;SBUV2N19L3zm;ML2N2O_NRT;OMDOAO3e;SBUV2N14L2;OMTO3G;GozSmlpO3;ML2O3;ML3MBHNO3;OMSO2_CPR;GozSmlpHNO3;OMNO2G;ML2O3_NRT;OMTO3e;OMTO3d;OMNO2_CPR;GozMmlpHNO3;GozMmlpO3;OMNO2d;SBUV2N14L3zm;ML3DZN2O;OMDOAO3Z;ML3DZO3;MSAQSO2L4;OMI_MINDS_NO2d;ML3MBN2O;OMSO2;MSO3L3zm5;ML3DBHNO3;ML3MBCO;ML3DZHNO3;ML3DBCO;ML2DGG;MSVOLSO2L4;ML2CO;OMSO2G;ML3DZCO;ML2HNO3;ML2SO2;ML2N2O;OMDOAO3;OMSO2e;OMPS_NPP_NMSO2_PCA_L2;MSLERLSTL3zm;GozSmlpN2O;ML3DBSO2;ML3DBO3;MSLERNNL3zm;OMO3PR;ML3DZSO2;GozMmlpN2O,,,3, 0, 57
LTTW7HBG,2018_Lambert_Accuracy and precision of polar lower stratospheric temperatures from.pdf,'aura/mls'(5); 'aqua/airs'(1), 'merra'(26); 'merra-2'(17); 'geos-5'(10),ML2H2O;ML2HNO3;ML2T,AIRX3STD;ML2HNO3_NRT;ML2H2O;ML3MBH2O;AIRS3STM;ML3DZT;ML2T;AIRHBRAD;ML3DZH2O;ML3MBHNO3;ML3DBCLO;GozSmlpHNO3;AIRS3SPD;ML3DBH2O;GozMmlpHNO3;GozSmlpH2O;ML2T_NRT;ML3DBHCN;AIRS3STD;AIRH2SUP;GozMmlpH2O;ML3DBHNO3;ML3DBCH3CL;ML3DZHNO3;ML2H2O_NRT;ML2DGG;AIRX2RET;ML2HNO3;AIRABRAD;ML3MBT;AIRX2SUP;AIRH2RET;ML3DBT;AIRABRAD_NRT,,,3, 0, 31
TB4GIJ7Y,2020_Liu_A methodology to constrain carbon dioxide emissions from coal-fired power.pdf,'aura/omi'(1), 'merra-2'(4); 'merra'(4),OMNO2;OMVFPITMET,OMI_MINDS_NO2d;OMO3PR;OMI_MINDS_NO2;OMDOAO3;OMNO2;OMDOAO3G;OMNO2G;OMNO2_CPR;OMTO3e;OMDOAO3e;OMTO3d;OMDOAO3Z;OMNO2d;OMTO3G,,,1, 1, 13
PXKGZS94,2018_Itahashi_A 15-year record (2001–2015) of the ratio of nitrate to non-sea-salt sulfate in.pdf,'aura/omi'(1), ,OMNO2d;OMSO2e,MSAQSO2L4;OMI_MINDS_NO2d;OMSO2_CPR;OMSO2e;OMPS_NPP_NMSO2_PCA_L2;OMSO2G;OMI_MINDS_NO2;OMNO2;OMSO2;OMNO2G;MSVOLSO2L4;OMNO2_CPR;OMNO2d,,,2, 0, 11
HMHY4HFU,2018_Sun_A physics-based approach to oversample multi-satellite multispecies.pdf,'aura/omi'(1), ,OMNO2d;OMPIXCOR,OMI_MINDS_NO2d;OMI_MINDS_NO2;OMNO2;OMNO2G;OMNO2_CPR;OMNO2d,,,1, 1, 5
FG6I3DFC,2018_Kourtidis_A new method for deriving trace gas emission inventories from satellite.pdf,'aura/omi'(5), ,OMNO2d;OMSO2e,MSAQSO2L4;OMI_MINDS_NO2d;OMSO2_CPR;OMSO2e;OMPS_NPP_NMSO2_PCA_L2;OMSO2G;OMI_MINDS_NO2;OMNO2;OMSO2;OMNO2G;MSVOLSO2L4;OMNO2_CPR;OMNO2d,,,2, 0, 11
IUTVRRDV,2016_Fan_Urbanization and environmental change during the economic transition on the.pdf,'aura/omi'(1), 'merra'(2),OMSO2e;OMNO2d;OMAEROe;MAT1NXFLX;MATMNXSLV,OMMYDCLD;OMUFPITMET;OMVFPITMET,,,0, 5, 3
PTQ94YPR,2019_Inness_Monitoring and assimilation tests with TROPOMI data in the CAMS system.pdf,'sentinel-5p/tropomi'(3); 'aura/mls'(2); 'aura/omi'(2); 'noaa-19/sbuv/2'(1), ,ML2O3;OMTO3;OMPS_NPP_NMTO3_L2;OMPS_NPP_NMTO3_L3_DAILY;SBUV2N19L2;S5P_L2__O3_TOT;S5P_L2__O3_TOT_HiR,S5P_L2__AER_LH;ML3MBO3;OMDOAO3G;SBUV2N19L2;SBUV2N19L3zm;OMDOAO3e;ML3DZT;OMMYDCLD;ML2T;OMTO3G;GozSmlpO3;ML2O3;ML3DBCLO;S5P_L2__O3_TOT;ML2O3_NRT;OMTO3e;OMTO3d;S5P_L2__AER_LH_HiR;GozMmlpO3;OMDOAO3Z;ML3DZO3;ML2T_NRT;ML3DBHCN;S5P_L2__NO2____HiR;MSO3L3zm5;S5P_L2__CLOUD_;OMVFPITMET;ML3DBCH3CL;ML2DGG;S5P_L2__O3_TOT_HiR;S5P_L2__O3_TCL;OMDOAO3;ML3MBT;MSLERLSTL3zm;S5P_L2__CLOUD__HiR;ML3DBT;ML3DBO3;MSLERNNL3zm;OMO3PR;S5P_L2__CO____;OMUFPITMET;S5P_L2__CO_____HiR,,,4, 3, 38
AQ984N7H,2019_Zhao_Retrieval of total column and surface NO sub2-sub from Pandora zenith-sky.pdf,'aura/omi'(1), 'geos-chem'(3),OMNO2,OMI_MINDS_NO2d;OMI_MINDS_NO2;OMNO2;OMNO2G;OMVFPITMET;OMNO2_CPR;OMMYDCLD;OMNO2d;OMUFPITMET,,,1, 0, 8
GH789B22,2020_Cooper_Effects of a priori profile shape assumptions on comparisons between satellite.pdf,, 'geos-chem'(10),OMNO2,,,,0, 1, 0
