zotero key, pdf key, title, mission/instruments, models, dois, datasets, dois & datasets mapped
MVVGVHJ8,B2I6L9SM,2016_Rohtash_Study on Comparison of Indian Ozonesonde Data with Satellite Data.pdf,'uars/mls'(29); 'aura/mls'(19); 'noaa-18/sbuv/2'(2); 'nimbus-7/sbuv'(1); 'aura/omi'(1); 'noaa-16/sbuv/2'(1), , 
7KN5YY66,IQUJEZS2,2008_Schwartz_Validation of the Aura Microwave Limb Sounder temperature and geopotential.pdf,'aura/mls'(6); 'aqua/airs'(2); 'aqua/hsb'(1); 'uars/haloe'(1), 'geos-5'(37), 
HT5UUBG7,I8QHNMGP,2013_Nedoluha_Validation of long-term measurements of water vapor from the midstratosphere to.pdf,'aura/mls'(5), , 
6HM9FRVA,L2HS87QG,2009_Haefele_Validation of ground-based microwave radiometers at 22 GHz for stratospheric.pdf,'aura/mls'(2), , 
DVMFYU29,P55XFYKI,2008_Pickett_Validation of Aura Microwave Limb Sounder OH and HO sub2-sub measurements.pdf,'aura/mls'(3); 'aura/mls----level 2'(1), 'geos-5'(1), 
NY5JBRHM,CE8MN8UH,2015_Evan_TTL cooling and drying during the January 2013 stratospheric sudden warming.pdf,'aura/mls'(1), , 
5PFJE327,7WN4NHDA,2016_Zhang_Tropospheric ozone change from 1980 to 2010 dominated by equatorward.pdf,'aura/omi'(1); 'aura/mls'(1), 'geos-5'(1), 
3S2L4895,DYTGGVJY,2015_Monks_Tropospheric ozone and its precursors from the urban to the global scale from.pdf,'aura/omi'(1); 'aura/mls'(1), , 
BBM37IF5,FPJLRD2W,2017_Randel_Troposphere-Stratosphere Temperature Trends Derived From Satellite Data.pdf,'aura/mls'(1), 'merra'(1), 
URBKWG9Z,4XZUSIBY,2013_Takahashi_Tropical water vapor variations during the 2006-2007 and 2009-2010 El Niños.pdf,'aqua/airs'(2); 'aura/mls'(2), , 
ANM7KVW7,PJ77PRIF,2008_Pumphrey_Tropical tape recorder observed in HCN.pdf,'aura/mls'(1), , 
RPJ7CA2B,9CF43MJB,2016_Päivärinta_Transport versus energetic particle precipitation.pdf,'aura/mls'(7), 'merra'(3), 
48A82RXU,NXIQLXD9,2012_Allen_Tracer transport during the Arctic stratospheric final warming based on a.pdf,'aura/mls'(2), , 
I8QFWU3Z,AQYBEVGA,2011_Santee_Trace gas evolution in the lowermost stratosphere from Aura Microwave Limb.pdf,'aura/mls'(9); 'uars/mls'(1), 'merra'(5), 
VN82KGWW,NY7KIHCU,2007_Kahn_Toward the characterization of upper tropospheric clouds using Atmospheric.pdf,'aqua/airs'(2); 'aura/mls'(2); 'aqua/modis'(1), , 
HZV3EYHM,QAACL243,2015_Lukianova_Thermal and dynamical perturbations in the winter polar mesosphere‐lower.pdf,'aura/mls'(9), 'merra'(6), 
2WKIBHRP,N2WWJNXF,2012_Rong_The roles of temperature and water vapor at different stages of the polar.pdf,'aura/mls'(2); 'aura/mls----level 2'(1); 'uars/haloe'(1), , 
6FJ269PD,224T3IW9,2013_Shapiro_The role of the solar irradiance variability in the evolution of the middle.pdf,'sorce/sim'(5); 'sorce/solstice'(4); 'uars/solstice'(2); 'aura/mls'(2), , 
9US94NQM,5DMFUQLG,2013_Oman_The ozone response to ENSO in Aura satellite measurements and a.pdf,'aura/mls'(2), 'merra'(1), 
CVZSYEDZ,IGI4KZJ8,2013_Allen_The large-scale frozen-in anticyclone in the 2011 Arctic summer stratosphere.pdf,'aura/mls'(4), 'merra'(12); 'geos-5'(1); 'geos-chem'(1), 
F9MASZFX,8LVX29KQ,2011_Wright_The influence of summertime convection over Southeast Asia on water vapor in.pdf,'aura/mls'(9), 'merra'(23), 
VCEHGC29,UM8RG5YM,2011_Ren_The impact of gravity wave drag on mesospheric analyses of the 2006.pdf,, , 
KFVTFCXW,ABSINEAX,2015_Wargan_The global structure of upper troposphere-lower stratosphere ozone in GEOS-5.pdf,'aura/hirdls'(1); 'aura/omi'(1); 'aura/mls'(1), 'geos-5'(51); 'merra'(5); 'merra-2'(2), 
IDXYHZFU,P25R9KSN,2011_Alexander_The effect of orographic gravity waves on Antarctic polar stratospheric cloud.pdf,'aura/mls'(2), 'bling'(1), 
L2XD7PPG,HTE93NAQ,2013_Strahan_The contributions of chemistry and transport to low arctic ozone in March 2011.pdf,'aura/mls'(4); 'aura/omi'(2); 'aura/mls----level 2'(1), 'merra'(4); 'geos-5'(1), 
2FRKK6MN,Y8FUQNXA,2012_Søvde_The chemical transport model Oslo CTM3.pdf,, 'geos-chem'(1), 
E8M6SXX5,ZYZF54C7,2015_Fytterer_The 27 day solar rotational effect on mesospheric nighttime OH and O.pdf,'aura/mls'(6), , 
ZY4VTJII,DLE5DS95,2010_Han_The 4D-Var assimilation of ozone-sensitive infrared radiances measured by IASI.pdf,'aura/mls'(3); 'aura/omi'(1), , 
D4FMK78Z,3PC78WLV,2006_Folkins_Testing convective parameterizations with tropical measurements of HNO.pdf,'uars/mls'(3); 'uars/haloe'(1), 'geos-chem'(11), 
TPBEJF9B,ZJSQX3YF,2006_Froidevaux_Temporal decrease in upper atmospheric chlorine.pdf,'aura/mls'(2); 'uars/haloe'(1), , 
JB5DZGT6,PPR98FE4,2018_Gong_Study of the Quasi-5-Day Wave in the MLT Region by a Meteor Radar Chain.pdf,'aura/mls'(10), , 
K9R884JN,CH6TNJII,2008_McConnell_Stratospheric ozone chemistry.pdf,'aura/mls'(4); 'uars/haloe'(1), , 
JIYTYTV8,L2PF2F92,2010_Ishijima_Stratospheric influence on the seasonal cycle of nitrous oxide in the.pdf,'aura/mls'(1), , 
I242HE79,A9DEEPKE,2006_Canty_Stratospheric and mesospheric HOx.pdf,'aura/mls'(3), , 
WCNWDWEQ,SR2BRW3N,2018_Zhu_Stratospheric Aerosols Polar Stratospheric Clouds and Polar Ozone Depletion.pdf,'suomi-npp/omps'(1); 'aura/mls'(1), 'merra'(1), 
PI4KJ56D,5Z7WZUAV,2012_Barré_Stratosphere-troposphere ozone exchange from high resolution MLS ozone analyses.pdf,'aura/mls'(1), , 
7EZN7PWF,7QTTTVRD,2012_Muscari_Strato-mesospheric ozone measurements using ground-based millimeter-wave.pdf,'aura/mls'(4), , 
XTSYX5UZ,QJYQLFFY,2010_French_Stability of temperatures from TIMED-SABER v1.pdf,'aura/mls'(2); 'aura/mls----level 2'(1), , 
7SNRKG62,FB4IQ5IL,2010_Wargan_Spatial structure of assimilated ozone in the upper troposphere and lower.pdf,, , 
W3VT9LK7,S4TREPUM,2018_Smith_Spatial and Temporal Structure of the Tertiary Ozone Maximum in the Polar.pdf,'aura/mls'(2), , 
SU635AVI,XC4TB6X7,2008_Lary_Space-based measurements of HCl.pdf,'aura/mls'(32); 'uars/haloe'(2); 'aura/mls----level 2'(1); 'uars/mls'(1), , 
VBIDYFBN,RYMUETYM,2018_Gan_Sources Sinks and Propagation Characteristics of the Quasi 6-Day Wave and Its.pdf,'aura/mls'(1), , 
GLZK55TN,MEVZCVJF,2015_Schoeberl_Sources of seasonal variability in tropical upper troposphere and lower.pdf,'aura/mls'(2), 'merra'(5); 'geos-5'(1), 
8S7IBKZA,WA6UY9UQ,2007_Manney_Solar occultation satellite data and derived meteorological products.pdf,'aura/mls'(11); 'uars/mls'(5); 'uars/haloe'(2); 'uars/claes'(1), 'geos-5'(19), 
DFHYGK2V,XVF6MWAN,2013_Millán_SMILES ice cloud products.pdf,'cloudsat/cloudsat-cpr'(13); 'trmm/pr'(2); 'trmm/virs'(1), 'geos-5'(4), 
9C4WJVPQ,R9DEXAU9,2007_Grooß_Simulation of ozone loss in Arctic winter 2004-2005.pdf,'aura/mls'(2), , 
