paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
T9Q8KNTS,2013_France_A climatology of the stratopause in WACCM and the zonally asymmetric elevated.pdf,'aura/mls'(1), ,ML2T;ML2GPH,ML2T,,,1, 1, 0
7XBYJ78I,2012_France_A climatology of stratopause temperature and height in the polar vortex and.pdf,'aura/mls'(1), ,ML2T;ML2GPH,ML2T,,,1, 1, 0
W89TPXXF,2014_Uma_A climatological perspective of water vapor at the UTLS region over different.pdf,'aura/mls'(7), ,ML2H2O;ML2T,ML2H2O;ML2T,,,2, 0, 0
9VU3W36W,2010_Haigh_An influence of solar spectral variations on radiative forcing of climate.pdf,'aura/mls'(4); 'sorce/solstice'(1); 'sorce/sim'(1), ,ML2O3,ML2O3;ML2T,,,1, 0, 1
FZSW5ARZ,2016_Xie_A Quantitative Estimation of the Transport of Surface Emissions from Different.pdf,, ,ML2CO,,,,0, 1, 0
GQ6GE47T,2016_Dolinar_A clear-sky radiation closure study using a one-dimensional radiative transfer.pdf,'aqua/modis'(2); 'aura/mls'(2); 'aqua/airs'(1), 'merra'(52); 'merra-2'(47),ML2T;ML2H2O;ML2O3;M2I3NPASM;AIRS3STD;AIRS3SPD,ML2H2O;MAM05S0;AIRX3STD;ML2O3;ML2T;MAM06S0,,,3, 3, 3
3E7LV4MW,2012_McPeters_Climatology 2011.pdf,'aura/mls'(9); 'uars/mls'(2); 'aura/omi'(2), ,ML2O3;SBUVN07L2,GozMmlpO3;OMTO3e;ML2O3,,,1, 1, 2
8UBZNJZ6,2018_Dhomse_Estimates of ozone return dates from Chemistry-Climate Model Initiative.pdf,, ,ML2O3;ML2HCL;ML2CLO;SBUV2N09L2;SBUV2N11L2;SBUV2N14L2;SBUV2N16L2;SBUV2N17L2;SBUV2N18L2;SBUV2N19L2,,,,0, 10, 0
ELDUMEXE,2017_Miyazaki_Evaluation of ACCMIP ozone simulations and ozonesonde sampling biases using a.pdf,'aura/omi'(1); 'aura/mls'(1), ,ML2O3;ML2HNO3;OMNO2,OMTO3e;ML2N2O;ML2HNO3;ML2O3;OMI_MINDS_NO2;OMNO2d,,,2, 1, 4
249K6J59,2017_Herman_Enhanced stratospheric water vapor over the summertime continental United.pdf,'aura/mls'(18), 'merra'(1),ML2H2O,ML2H2O,,,1, 0, 0
XRXAHBTC,2018_Venkata Chalapathi_Unusual Changes in Stratospheric Ozone and Water Vapor Over Antarctica and its.pdf,'aura/mls'(1), ,ML2O3;ML2H2O;ML2T;ML2OH;ML2HNO3,ML2O3;ML2T,,,2, 3, 0
C6BZGJCT,2019_Han_Attribution of the Hemispheric Asymmetries in Trends of Stratospheric Trace.pdf,'aura/mls----level 2'(1); 'aura/mls'(1), ,ML2HCL;ML2N2O,GozMmlpHCl;ML2N2O;ML2DGG,,,1, 1, 2
IH7ZESY2,2016_Strahan_Chemical and dynamical impacts of stratospheric sudden warmings on Arctic ozone.pdf,'aura/mls'(3); 'aura/mls----level 2'(1); 'aura/omi'(1); 'uars/haloe'(1); 'uars/claes'(1), 'merra'(17),ML2N2O;ML2O3;ML2CLO,OMUFPITMET;OMTO3e;ML2CLO;ML2N2O;GozMmlpO3;ML2O3;ML2T;OMI_MINDS_NO2;UARCL3AL;UARHA2FN,,,3, 0, 7
TALKAAMX,2012_Ialongo_Ozone zonal asymmetry and planetary wave characterization during Antarctic.pdf,'aura/omi'(1); 'aura/mls'(1), ,OMTO3d;ML2O3,OMTO3e;ML2O3,,,1, 1, 1
R8LH2GFV,2011_Minschwaner_Hydroxyl in the stratosphere and mesosphere – Part 1.pdf,'aura/mls'(1), ,ML2OH;ML2O3;ML2H2O,ML2H2O;ML2O3;ML3DBOH;ML2T,,,2, 1, 2
JLZCHFYS,2010_Liu_Validation of Ozone Monitoring Instrument (OMI) ozone profiles and.pdf,'aura/omi'(3); 'aura/mls'(2), ,ML2O3;OMTO3;OMDOAO3,OMTO3e;ML2O3,,,1, 2, 1
DCLYY7FH,2006_Jing_Summertime tropospheric ozone columns from Aura OMI-MLS measurements versus.pdf,'aura/mls'(4); 'aura/omi'(4); 'uars/mls'(1), 'geos-chem'(2),ML2O3;OMTO3d;OMTO3e,GozMmlpO3;OMTO3e;ML2O3,,,2, 1, 1
NSVVXI2C,2009_Massart_First steps towards the assimilation of IASI ozone data into the MOCAGE-PALM.pdf,'aura/mls'(2); 'aura/omi'(2); 'uars/haloe'(1), ,ML2O3;OMDOAO3,GozMmlpO3;OMTO3e;ML2O3;ML2CO,,,1, 1, 3
HXK4YQAY,2013_Jain_Role of convection in hydration of tropical UTLS.pdf,'aura/mls'(10), ,ML2H2O;ML2T,ML2H2O;ML2T,,,2, 0, 0
QSQTDHMN,2019_Hakim_Evaluation of tropospheric ozone and ozone precursors in simulations from the.pdf,'aura/omi'(4); 'aura/mls'(4), 'geos-chem'(1),OMTO3;ML2O3,OMTO3e;ML2O3,,,1, 1, 1
8XFSQVXP,2015_Nedoluha_The decrease in mid-stratospheric tropical ozone since 1991.pdf,'aura/mls'(2), ,UARHA2FN;UARHA3AT;ML2O3;ML2N2O,ML2N2O;ML2O3,,,2, 2, 0
LAFMLDJA,2008_Englert_First results from the Spatial Heterodyne Imager for Mesospheric Radicals.pdf,'aura/mls'(2), ,ML2H2O;ML2OH,ML3DBOH;ML2H2O,,,1, 1, 1
U4FHZ22K,2012_Gu_Dust aerosol impact on North Africa climate.pdf,'aqua/modis'(1); 'aura/mls'(1), ,ML2IWC,,,,0, 1, 0
GN6ZVHCN,2014_Eckert_Drift-corrected trends and periodic variations in MIPAS IMK-IAA ozone.pdf,'aura/mls'(47); 'uars/mls'(2), ,ML2O3,GozMmlpO3;UARML3AL;ML2O3;ML2T,,,1, 0, 3
7GW8GM3V,2010_Eriksson_Diurnal variations of humidity and ice water content in the tropical upper.pdf,'aura/mls'(13); 'trmm/virs'(1); 'trmm/pr'(1), ,ML2RHI;ML2IWC,ML2RHI;ML2T,,,1, 1, 1
7WIYIUZU,2018_Schranz_Diurnal variation in middle-atmospheric ozone observed by ground-based.pdf,'uars/mls'(1), ,ML2O3,GozMmlpO3,,,0, 1, 1
SYY76RCD,2011_David_Distribution of ozone and its precursors over Bay of Bengal during winter 2009.pdf,'aura/omi'(2); 'aura/mls'(1); 'aqua/modis'(1), ,ML2O3;OMTO3e;OMTO3d;OMNO2d,OMTO3e;ML2N2O;ML2O3;OMI_MINDS_NO2;OMNO2d,,,3, 1, 2
P6PMXKJS,2013_Su_Diagnosis of regime-dependent cloud simulation errors in CMIP5 models using.pdf,'aqua/airs'(1); 'aqua/amsr-e'(1), ,AIRS3STD;AIRS2RET,LPRM_AMSRE_SOILM2;AIRX3STD,,,0, 2, 2
NGGQEMBZ,2013_Barré_Diagnosing the transition layer at extratropical latitudes using MLS O.pdf,'aura/mls'(2), ,ML2O3;AIRS3STD,ML2O3;ML2CO,,,1, 1, 1
FWEQ7PQG,2015_Zhu_Development of a Polar Stratospheric Cloud Model within the Community Earth.pdf,'aura/mls'(4); 'uars/mls'(1), 'geos-5'(1),ML2HNO3;ML2HCL;ML2H2O;ML2O3;ML2T,GozMmlpHCl;GozMmlpH2O;GozMmlpHNO3;ML2H2O;ML2HNO3;GozMmlpO3;ML2O3;ML2T;UARML3AL,,,4, 1, 5
